env_id,method,alpha,gamma,lambda_value,epsilon,epsilon_decay,epsilon_min,num_episodes,seed,save_dir,train_returncode,train_stdout,train_stderr,eval_returncode,eval_mean_reward,error
Maze-Easy,tdlambda,0.0005,0.95,0.7,1.0,0.995,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.951
Episode 20/100, mean reward 0.600, last reward 0.000, epsilon 0.905
Episode 30/100, mean reward 0.900, last reward 1.000, epsilon 0.860
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.818
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.778
Episode 60/100, mean reward 0.900, last reward 1.000, epsilon 0.740
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.704
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.670
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.637
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.606
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142710-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142710-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142710-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.95,0.7,1.0,0.99,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.904
Episode 20/100, mean reward 0.900, last reward 1.000, epsilon 0.818
Episode 30/100, mean reward 0.900, last reward 1.000, epsilon 0.740
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.669
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.605
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.547
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.495
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.448
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.405
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.366
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142717-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142717-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142717-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.95,0.8,1.0,0.995,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.951
Episode 20/100, mean reward 0.600, last reward 0.000, epsilon 0.905
Episode 30/100, mean reward 0.900, last reward 1.000, epsilon 0.860
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.818
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.778
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.740
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.704
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.670
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.637
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.606
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142721-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142721-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142721-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.95,0.8,1.0,0.99,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.904
Episode 20/100, mean reward 0.800, last reward 1.000, epsilon 0.818
Episode 30/100, mean reward 0.900, last reward 1.000, epsilon 0.740
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.669
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.605
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.547
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.495
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.448
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.405
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.366
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142726-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142726-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142726-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.95,0.9,1.0,0.995,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.995-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.951
Episode 20/100, mean reward 0.600, last reward 0.000, epsilon 0.905
Episode 30/100, mean reward 0.700, last reward 0.000, epsilon 0.860
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.818
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.778
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.740
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.704
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.670
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.637
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.606
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142730-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142730-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142730-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.95,0.9,1.0,0.99,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.99-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.904
Episode 20/100, mean reward 0.800, last reward 0.000, epsilon 0.818
Episode 30/100, mean reward 0.900, last reward 1.000, epsilon 0.740
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.669
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.605
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.547
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.495
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.448
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.405
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.366
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142735-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142735-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.95-l0.9-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142735-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.99,0.7,1.0,0.995,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.951
Episode 20/100, mean reward 0.600, last reward 0.000, epsilon 0.905
Episode 30/100, mean reward 0.900, last reward 1.000, epsilon 0.860
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.818
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.778
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.740
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.704
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.670
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.637
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.606
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142740-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142740-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142740-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.99,0.7,1.0,0.99,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.904
Episode 20/100, mean reward 0.800, last reward 0.000, epsilon 0.818
Episode 30/100, mean reward 0.800, last reward 1.000, epsilon 0.740
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.669
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.605
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.547
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.495
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.448
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.405
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.366
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142745-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142745-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.7-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142745-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.99,0.8,1.0,0.995,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.951
Episode 20/100, mean reward 0.600, last reward 0.000, epsilon 0.905
Episode 30/100, mean reward 0.800, last reward 1.000, epsilon 0.860
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.818
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.778
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.740
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.704
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.670
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.637
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.606
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142751-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142751-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.995-m0.05-n100-s42-20260414-142708\20260414-142751-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
Maze-Easy,tdlambda,0.0005,0.99,0.8,1.0,0.99,0.05,100,42,C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708,0,"Episode 10/100, mean reward 0.800, last reward 1.000, epsilon 0.904
Episode 20/100, mean reward 0.800, last reward 0.000, epsilon 0.818
Episode 30/100, mean reward 0.900, last reward 1.000, epsilon 0.740
Episode 40/100, mean reward 1.000, last reward 1.000, epsilon 0.669
Episode 50/100, mean reward 1.000, last reward 1.000, epsilon 0.605
Episode 60/100, mean reward 1.000, last reward 1.000, epsilon 0.547
Episode 70/100, mean reward 1.000, last reward 1.000, epsilon 0.495
Episode 80/100, mean reward 1.000, last reward 1.000, epsilon 0.448
Episode 90/100, mean reward 1.000, last reward 1.000, epsilon 0.405
Episode 100/100, mean reward 1.000, last reward 1.000, epsilon 0.366
Saved trained model to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142755-tdlambda-Maze-Easy\tdlambda_Maze-Easy.npy
Saved metadata to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142755-tdlambda-Maze-Easy\metadata.json
Saved plot to C:\Users\moliai\Desktop\RL_Project\saved_models\paramsearch-Maze-Easy-tdlambda-a0.0005-g0.99-l0.8-e1.0-d0.99-m0.05-n100-s42-20260414-142708\20260414-142755-tdlambda-Maze-Easy\tdlambda_learning_curve.png","D:\programfile\anaconda3\envs\RL_Project\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists",,,
